City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Faya,SA,2021-11-01 04:28:47,18.3851,42.4509,54.12,50,7,6.87
165,Avarua,CK,2021-11-01 04:28:48,-21.2078,-159.775,75.25,69,75,12.66
166,Utica,US,2021-11-01 04:28:48,43.1009,-75.2327,53.89,80,54,1.99
167,Galveston,US,2021-11-01 04:28:49,29.3669,-94.9669,71.56,72,1,4.61
168,Gwanda,ZW,2021-11-01 04:28:49,-20.9333,29.0,65.05,73,0,8.99
169,Baft,IR,2021-11-01 04:28:50,29.234,56.6057,56.19,35,0,9.82
170,Mucurapo,TT,2021-11-01 04:28:50,10.6667,-61.5333,76.24,88,97,5.32
171,Kawalu,ID,2021-11-01 04:28:50,-7.3817,108.2082,83.53,74,99,2.91
172,Iqaluit,CA,2021-11-01 04:28:51,63.7506,-68.5145,28.13,79,75,5.01
173,Ambon,ID,2021-11-01 04:28:51,-3.6954,128.1814,87.94,70,40,6.91
174,Grindavik,IS,2021-11-01 04:28:52,63.8424,-22.4338,35.55,75,75,23.02
175,Xining,CN,2021-11-01 04:28:53,36.6167,101.7667,42.22,63,69,1.95
176,Dongsheng,CN,2021-11-01 04:28:53,39.8161,109.9776,44.98,33,3,9.64
177,Sawtell,AU,2021-11-01 04:28:54,-30.3833,153.1,72.19,64,90,10.36
178,Iquitos,PE,2021-11-01 04:28:54,-3.7481,-73.2472,73.44,94,90,4.61
179,Mayo,US,2021-11-01 04:28:55,38.8876,-76.5119,57.56,85,1,1.01
180,Muravlenko,RU,2021-11-01 04:28:56,63.7898,74.523,1.49,95,13,9.31
181,Mogadishu,SO,2021-11-01 04:28:56,2.0371,45.3438,80.47,89,40,11.5
182,Tiznit,MA,2021-11-01 04:28:57,29.5833,-9.5,60.64,42,0,0.36
183,Maues,BR,2021-11-01 04:28:57,-3.3836,-57.7186,75.27,90,98,1.72
184,Palamos,ES,2021-11-01 04:28:58,41.8484,3.1291,66.31,57,100,5.12
185,Tierra Colorada,MX,2021-11-01 04:28:58,17.1667,-99.5833,73.76,98,90,1.57
186,Nyurba,RU,2021-11-01 04:28:59,63.2842,118.3319,21.72,76,97,6.29
187,Lorengau,PG,2021-11-01 04:28:59,-2.0226,147.2712,83.05,79,100,10.87
188,Honiara,SB,2021-11-01 04:25:53,-9.4333,159.95,81.66,82,98,4.32
189,Narsaq,GL,2021-11-01 04:29:00,60.9167,-46.05,25.02,64,28,7.34
190,Namatanai,PG,2021-11-01 04:24:48,-3.6667,152.4333,85.5,67,70,11.63
191,Jining,CN,2021-11-01 04:29:01,35.405,116.5814,62.67,48,44,6.49
192,Lavrentiya,RU,2021-11-01 04:29:02,65.5833,-171.0,12.49,78,100,9.26
193,Fortuna,US,2021-11-01 04:29:03,40.5982,-124.1573,61.48,69,75,4.0
194,Batsfjord,NO,2021-11-01 04:29:03,70.6345,29.7185,32.22,89,85,10.02
195,Waitara,NZ,2021-11-01 04:29:04,-38.925,174.25,59.72,65,1,16.02
196,Ahuimanu,US,2021-11-01 04:29:05,21.4447,-157.8378,80.31,71,90,4.61
197,Kotelnikovo,RU,2021-11-01 04:29:05,47.6317,43.1461,47.89,79,98,11.1
198,Half Moon Bay,US,2021-11-01 04:29:06,37.4636,-122.4286,60.33,82,1,4.61
199,Brigantine,US,2021-11-01 04:29:07,39.4101,-74.3646,57.25,86,1,8.05
200,Padampur,IN,2021-11-01 04:29:07,29.6833,73.6167,79.47,18,0,7.47
201,Wahpeton,US,2021-11-01 04:29:05,46.2652,-96.6059,35.94,75,90,8.05
202,Longyearbyen,SJ,2021-11-01 04:29:08,78.2186,15.6401,33.64,75,75,19.57
203,Aviles,ES,2021-11-01 04:29:08,43.5547,-5.9248,56.73,67,0,17.27
204,Atambua,ID,2021-11-01 04:29:09,-9.1061,124.8925,87.26,53,70,4.32
205,Kungurtug,RU,2021-11-01 04:29:09,50.5994,97.5228,32.31,71,100,3.56
206,Yatou,CN,2021-11-01 04:29:10,37.15,122.3833,56.03,52,0,16.26
207,Dalby,AU,2021-11-01 04:29:10,-27.1833,151.2667,81.99,30,39,3.0
208,Foumban,CM,2021-11-01 04:29:11,5.7291,10.9001,62.1,94,73,2.62
209,Uruzgan,AF,2021-11-01 04:29:11,32.8333,66.0,49.75,44,0,7.81
210,Sitka,US,2021-11-01 04:29:12,57.0531,-135.33,48.09,43,40,8.05
211,Kuandian,CN,2021-11-01 04:29:13,40.7286,124.7847,49.98,55,5,5.39
212,Karlskrona,SE,2021-11-01 04:29:13,56.1616,15.5866,50.45,81,97,15.41
213,Gillette,US,2021-11-01 04:29:14,44.2911,-105.5022,31.24,65,90,5.75
