City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Walvis Bay,NA,2021-11-02 03:57:03,-22.9575,14.5053,55.09,87,0,4.61,clear sky
217,Yorosso,ML,2021-11-02 03:57:03,12.3536,-4.7761,78.15,63,75,5.21,broken clouds
218,Soyo,AO,2021-11-02 03:57:04,-6.1349,12.3689,76.24,83,100,4.94,overcast clouds
219,Iquitos,PE,2021-11-02 03:57:04,-3.7481,-73.2472,75.24,94,40,2.3,scattered clouds
220,Guozhen,CN,2021-11-02 03:57:04,34.3659,107.359,60.84,48,96,2.39,overcast clouds
221,Miandrivazo,MG,2021-11-02 03:57:05,-19.5167,45.4667,79.95,64,0,2.13,clear sky
222,Pangkalanbuun,ID,2021-11-02 03:57:05,-2.6833,111.6167,85.32,70,100,3.38,overcast clouds
223,Deputatskiy,RU,2021-11-02 03:57:06,69.3,139.9,-7.98,89,91,3.94,overcast clouds
224,Fairbanks,US,2021-11-02 03:57:07,64.8378,-147.7164,30.09,85,90,0.0,light snow
225,Dikson,RU,2021-11-02 03:57:08,73.5069,80.5464,4.68,94,11,7.38,few clouds
226,Usakos,NA,2021-11-02 03:57:08,-22.0,15.6,56.97,49,0,0.45,clear sky
227,Melbu,NO,2021-11-02 03:57:09,68.5044,14.8297,48.02,76,75,5.75,broken clouds
228,Pathein,MM,2021-11-02 03:57:09,16.7833,94.7333,85.1,74,90,5.79,overcast clouds
229,La Cumbre,AR,2021-11-02 03:57:09,-30.982,-64.4914,51.66,99,100,4.0,overcast clouds
230,Ketchikan,US,2021-11-02 03:57:10,55.3422,-131.6461,42.46,68,1,4.52,clear sky
231,Flinders,AU,2021-11-02 03:57:11,-34.5833,150.8552,78.21,58,14,5.01,few clouds
232,Sinnamary,GF,2021-11-02 03:57:11,5.3833,-52.95,79.34,81,33,9.22,scattered clouds
233,Biak,ID,2021-11-02 03:57:12,-0.9131,122.8766,85.21,61,100,3.09,overcast clouds
234,Itarema,BR,2021-11-02 03:57:12,-2.9248,-39.9167,79.45,80,98,13.62,overcast clouds
235,Yingcheng,CN,2021-11-02 03:57:13,30.95,113.55,66.25,48,78,5.19,broken clouds
236,Tilichiki,RU,2021-11-02 03:57:14,60.4667,166.1,-2.87,90,10,8.28,clear sky
237,Sosnogorsk,RU,2021-11-02 03:57:14,63.6023,53.8817,7.0,97,55,2.42,broken clouds
238,Pangody,RU,2021-11-02 03:57:15,65.85,74.4859,0.57,98,87,6.08,overcast clouds
239,Constitucion,CL,2021-11-02 03:57:15,-35.3333,-72.4167,50.76,79,11,8.95,few clouds
240,Souillac,MU,2021-11-02 03:57:15,-20.5167,57.5167,78.37,83,40,8.05,scattered clouds
241,Rocha,UY,2021-11-02 03:57:16,-34.4833,-54.3333,63.61,97,100,7.81,overcast clouds
242,Chokurdakh,RU,2021-11-02 03:57:17,70.6333,147.9167,-3.12,98,67,9.37,broken clouds
243,Alice Springs,AU,2021-11-02 03:57:17,-23.7,133.8833,74.75,60,40,12.66,scattered clouds
244,Raudeberg,NO,2021-11-02 03:57:18,61.9875,5.1352,47.07,86,95,5.01,moderate rain
245,Juneau,US,2021-11-02 03:57:18,58.3019,-134.4197,38.84,75,1,6.15,clear sky
246,Port-Cartier,CA,2021-11-02 03:57:19,50.0334,-66.8654,42.91,70,97,17.9,overcast clouds
247,Asau,RO,2021-11-02 03:57:19,46.4333,26.4,45.52,90,1,2.75,clear sky
248,Chitradurga,IN,2021-11-02 03:57:20,14.2333,76.4,75.65,75,85,14.99,overcast clouds
249,Tyulyachi,RU,2021-11-02 03:57:20,55.8913,50.2399,39.4,93,100,6.26,overcast clouds
250,Kutum,SD,2021-11-02 03:57:20,14.2,24.6667,71.55,29,94,13.29,overcast clouds
251,Ilulissat,GL,2021-11-02 03:57:21,69.2167,-51.1,27.9,94,100,3.51,overcast clouds
252,Puerto Leguizamo,CO,2021-11-02 03:57:21,-0.1934,-74.7819,71.94,99,98,1.66,overcast clouds
253,Kushima,JP,2021-11-02 03:57:22,31.4583,131.2333,72.91,38,0,7.09,clear sky
