City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Itarema,BR,78.64,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
608,Ternate,ID,85.03,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
611,Abu Dhabi,AE,82.96,overcast clouds,24.4667,54.3667,Beach Rotana
612,Nelson Bay,AU,75.09,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
615,Puerto Narino,CO,74.46,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
617,Kibala,TD,73.38,scattered clouds,9.1104,18.3463,Prasant Hotels
624,Sassandra,CI,75.2,light rain,4.95,-6.0833,la terrasse
627,Batasan,PH,82.54,overcast clouds,12.7667,120.7833,Solwara Beach Resort
638,Puerto Suarez,BO,74.34,few clouds,-18.95,-57.8,Hotel casa real
642,Sao Filipe,CV,80.56,clear sky,14.8961,-24.4956,Hotel Xaguate
645,Doha,QA,82.38,clear sky,25.2867,51.5333,Mövenpick Doha
648,Lethem,GY,77.38,overcast clouds,3.3803,-59.7968,Savannah Inn
655,Guerrero Negro,MX,73.8,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
657,Banjar,ID,78.13,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
660,Puerto Asis,CO,74.16,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
662,Alindao,CF,70.05,overcast clouds,5.0267,21.2088,OCHA Alindao
663,Nago,JP,76.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
667,Tomatlan,MX,77.14,light rain,19.9333,-105.25,El Salvial
668,Sorong,ID,84.43,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
669,Piacabucu,BR,76.42,clear sky,-10.4056,-36.4344,Piaçabuçu News
671,Portland,US,70.77,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
672,Hathras,IN,70.63,clear sky,27.6,78.05,Shilpa Guest House Hathras
674,Puerto Leguizamo,CO,74.17,overcast clouds,-0.1934,-74.7819,la casona de juancho
675,San Pedro,PH,84.34,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
